"Register Number",Date,Time,Location,"Vehicle Direction",Make,Colour,Photo,Violation,City,"Lane Name","Camera ID"
KL56B8466,2023-01-23,05:29:54,KAKKODI_MUKKU_JN,,Suzuki,Grey,http://117.247.180.163/getFile/P03C070-2023012300588.jpg,,KOZHIKODE,"KAKKODI TO BALUSSERY",C07
KL07BU2234,2023-01-23,05:29:30,LAIKKADU,,,NA,http://59.94.178.105/getFile/P01C031-2023012300634.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
KL55W1038,2023-01-22,14:54:07,KODUMUDI_JN,,,Black,http://117.221.64.243/getFile/P05C121-2023012211682.jpg,,MALAPPURAM,"KODUMUDI TO VALANCHERI",C12
KL11BJ6111,2023-01-23,05:30:00,VAIDHYARANGADI_JN,,,Black,http://117.247.180.163/getFile/P10C251-2023012303070.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE1",C25
KL52S,2023-01-23,05:30:03,CHANGARAMKULAM_JN,,,NA,http://117.221.64.243/getFile/P01C012-2023012300140.jpg,,MALAPPURAM,"CHANGARAMKULAM TO KKD 1",C01
TN01AN3369,2023-01-23,05:30:03,VAIDHYARANGADI_JN,,,Grey,http://117.247.180.163/getFile/P10C251-2023012303072.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE1",C25
KL09AT5002,2023-01-23,05:30:04,THOOTHA_JN,,Audi,Black,http://117.221.64.243/getFile/P03C071-2023012300774.jpg,,MALAPPURAM,"THOOTHA TO PALAKKAD",C07
KL05AU3736,2023-01-23,05:30:05,THAVALAKUZHI,,,Grey,http://59.94.178.105/getFile/P02C052-2023012301552.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301444.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL3H6975,2023-01-23,05:10:32,VENGALLUR,,,NA,http://59.94.179.116/getFile/P06C150-2023012300742.jpg,,IDUKKI,"Vengallur to Thodupuzha",C15
AP3736,2023-01-23,05:30:05,THAVALAKUZHI,,,Black,http://59.94.178.105/getFile/P02C052-2023012301558.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL40SC205,2023-01-23,05:30:06,THAVALAKUZHI,,,Black,http://59.94.178.105/getFile/P02C062-2023012301032.jpg,,KOTTAYAM,"Thavalakuzhi To Pattithanam",C06
KL342881,2023-01-22,14:54:18,"35th MILE",,Hyundai,Red,http://59.94.179.116/getFile/P07C180-2023012209840.jpg,,IDUKKI,"35th Mile to Kuttikkanam",C18
KLM9952,2023-01-23,05:30:07,NADUPUNI_JN,,,NA,http://117.251.18.178/getFile/P08C183-2023012300070.jpg,,PALAKKAD,"NADUPUNI TO POLLACHI",C18
KL20K6758,2023-01-23,05:30:06,OORAMBU,,,Black,http://117.216.46.219/getFile/P03C050-2023012300332.jpg,,TRIVENDRAM,"Oorambu To Karakonam",C05
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C021-2023012301504.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL40SC205,2023-01-23,05:30:06,THAVALAKUZHI,,,Black,http://59.94.178.105/getFile/P02C062-2023012301032.jpg,,KOTTAYAM,"Thavalakuzhi To Pattithanam",C06
KL10BE2696,2023-01-23,05:30:06,VAIDHYARANGADI_JN,,Suzuki,Grey,http://117.247.180.163/getFile/P10C241-2023012302216.jpg,,KOZHIKODE,"VAIDHYARANGADI TO MALAPPURAM LANE2",C24
KL09AT5002,2023-01-23,05:30:07,THOOTHA_JN,,,Black,http://117.221.64.243/getFile/P03C081-2023012300590.jpg,,MALAPPURAM,"THOOTHA TO MALAPPURAM",C08
TN76AR2647,2023-01-23,05:30:05,LAIKKADU,,,Black,http://59.94.178.105/getFile/P01C031-2023012300638.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301444.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL05Z5727,2023-01-23,05:30:08,MUTTOM,,,NA,http://59.94.179.116/getFile/P05C140-2023012300264.jpg,,IDUKKI,"Muttom to Erattupetta",C14
KL4BB2799,2023-01-23,05:29:37,LAIKKADU,,,Black,http://59.94.178.105/getFile/P01C021-2023012301498.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL28C20,2023-01-23,05:29:36,LAIKKADU,,Hyundai,Grey,http://59.94.178.105/getFile/P01C031-2023012300636.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
KL11BB2799,2023-01-23,05:29:37,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301438.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL22E4455,2023-01-23,05:30:09,LAIKKADU,,BMW,NA,http://59.94.178.105/getFile/P01C011-2023012301446.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL40G1858,2023-01-23,05:30:09,PADANILAM_JN,,,Grey,http://117.247.180.163/getFile/P09C204-2023012300568.jpg,,KOZHIKODE,"PADANILAM TO WAYANAD LANE2",C20
KL11W4635,2023-01-23,05:30:11,OORKKADAVU_JN,,,Black,http://117.247.180.163/getFile/P05C110-2023012300370.jpg,,KOZHIKODE,OORKKADAVU_TO_MALAPPURAM,C11
KL38C4627,2023-01-23,05:30:09,VENGALLUR,,,NA,http://59.94.179.116/getFile/P06C160-2023012300878.jpg,,IDUKKI,"Vengallur to Muvattupuzha",C16
KL22E4455,2023-01-23,05:30:09,LAIKKADU,,BMW,NA,http://59.94.178.105/getFile/P01C021-2023012301478.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL04AG4865,2023-01-23,05:30:08,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C031-2023012300596.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
KL38G2567,2023-01-22,14:54:13,"35th MILE",,Suzuki,Grey,http://59.94.179.116/getFile/P07C180-2023012209838.jpg,,IDUKKI,"35th Mile to Kuttikkanam",C18
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C021-2023012301504.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL72D5029,2023-01-23,05:30:12,PADANILAM_JN,,Toyota,Black,http://117.247.180.163/getFile/P09C224-2023012301194.jpg,,KOZHIKODE,"PADANILAM TO KKD LANE2",C22
KL40G1858,2023-01-23,05:30:11,PADANILAM_JN,,,Grey,http://117.247.180.163/getFile/P09C224-2023012301064.jpg,,KOZHIKODE,"PADANILAM TO KKD LANE2",C22
KL65J2060,2023-01-23,05:30:14,MUTTOM,,Audi,NA,http://59.94.179.116/getFile/P05C130-2023012300386.jpg,,IDUKKI,"Muttom to Thodupuzha",C13
KL72D5027,2023-01-23,05:30:10,PADANILAM_JN,,,NA,http://117.247.180.163/getFile/P09C204-2023012300570.jpg,,KOZHIKODE,"PADANILAM TO WAYANAD LANE2",C20
KL40G1858,2023-01-23,05:30:11,PADANILAM_JN,,,Grey,http://117.247.180.163/getFile/P09C211-2023012301526.jpg,,KOZHIKODE,"PADANILAM TO KKD LANE1",C21
KL35D7268,2023-01-23,05:29:45,THAVALAKUZHI,,,NA,http://59.94.178.105/getFile/P02C052-2023012301556.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL72D5029,2023-01-23,05:30:12,PADANILAM_JN,,Toyota,Black,http://117.247.180.163/getFile/P09C211-2023012301530.jpg,,KOZHIKODE,"PADANILAM TO KKD LANE1",C21
KL01BA2979,2023-01-23,05:30:13,KADAMPATTUKONAM,,Nissan,NA,http://117.216.46.219/getFile/P05C111-2023012303560.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL09AJ7129,2023-01-23,05:30:13,GOPALAPURAM_JN,,,Grey,http://117.251.18.178/getFile/P01C023-2023012300580.jpg,,PALAKKAD,"GOPALAPURAM TO POLLACHI",C02
KL05AH8786,2023-01-23,05:30:14,MUTTOM,,,NA,http://59.94.179.116/getFile/P05C130-2023012300388.jpg,,IDUKKI,"Muttom to Thodupuzha",C13
KL63C1033,2023-01-23,05:10:24,VENGALLUR,,Renault,NA,http://59.94.179.116/getFile/P06C160-2023012300772.jpg,,IDUKKI,"Vengallur to Muvattupuzha",C16
KL17U6437,2023-01-23,05:30:13,MUTTOM,,,NA,http://59.94.179.116/getFile/P05C140-2023012300266.jpg,,IDUKKI,"Muttom to Erattupetta",C14
KL01BA2979,2023-01-23,05:30:15,KADAMPATTUKONAM,,Audi,NA,http://117.216.46.219/getFile/P05C101-2023012301708.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane2",C10
KL01BU6309,2023-01-23,05:30:15,KADAMPATTUKONAM,,Audi,NA,http://117.216.46.219/getFile/P05C111-2023012303562.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL016673,2023-01-23,05:30:16,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C121-2023012301488.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane2",C12
KL01CP6673,2023-01-23,05:30:16,KADAMPATTUKONAM,,,Grey,http://117.216.46.219/getFile/P05C111-2023012303564.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL01CP,2023-01-23,05:30:16,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C121-2023012301470.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane2",C12
TN41AV1672,2023-01-23,05:30:16,GOPALAPURAM_JN,,,Grey,http://117.251.18.178/getFile/P01C013-2023012300366.jpg,,PALAKKAD,"GOPALAPURAM TO PALAKAD",C01
KL57B5080,2023-01-23,05:30:11,KAKKODI_MUKKU_JN,,,Grey,http://117.247.180.163/getFile/P03C080-2023012300154.jpg,,KOZHIKODE,"KAKKODI TO KKD",C08
KL78CL,2023-01-23,05:30:16,IRITTY,,,NA,http://59.96.61.71/getFile/P01C010-2023012300734.jpg,,KANNUR_RURAL,"Keezhur To Mattanur Lane1",C01
KL19E1998,2023-01-23,05:30:17,CHERUVARAKONAM,,,Black,http://117.216.46.219/getFile/P02C042-2023012300344.jpg,,TRIVENDRAM,"Cheruvarakonam To Trivandrum",C04
KL23U9753,2023-01-23,05:30:16,KADAMPATTUKONAM,,Honda,NA,http://117.216.46.219/getFile/P05C111-2023012303566.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL78A6064,2023-01-23,05:30:16,IRITTY,,,NA,http://59.96.61.71/getFile/P01C010-2023012300644.jpg,,KANNUR_RURAL,"Keezhur To Mattanur Lane1",C01
KL01BU6309,2023-01-23,05:30:17,KADAMPATTUKONAM,,Toyota,NA,http://117.216.46.219/getFile/P05C101-2023012301710.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane2",C10
KL01AM8645,2023-01-23,05:30:19,OORAMBU,,,Grey,http://117.216.46.219/getFile/P03C060-2023012300310.jpg,,TRIVENDRAM,"Oorambu To Poovar",C06
KL58M5552,2023-01-23,05:30:19,NEDUMPOYIL,,,NA,http://59.96.61.71/getFile/P02C060-2023012300128.jpg,,KANNUR_RURAL,"Nedumpoyil To Wayanad",C06
KL10AT4793,2023-01-23,05:30:12,ELATHUR_JN,,,Black,http://117.247.180.163/getFile/P08C170-2023012300926.jpg,,KOZHIKODE,"ELATHUR TO KANNUR",C17
KL34E9442,2023-01-22,14:54:06,"35th MILE",,Suzuki,Grey,http://59.94.179.116/getFile/P07C170-2023012206720.jpg,,IDUKKI,"35th Mile to Mundakayam",C17
KL23U9753,2023-01-23,05:30:19,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C101-2023012301644.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane2",C10
KL38G5540,2023-01-23,05:29:51,LAIKKADU,,Suzuki,Black,http://59.94.178.105/getFile/P01C011-2023012301440.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL11BL22,2023-01-23,05:30:19,VAIDHYARANGADI_JN,,,Black,http://117.247.180.163/getFile/P10C241-2023012302130.jpg,,KOZHIKODE,"VAIDHYARANGADI TO MALAPPURAM LANE2",C24
KL38J6446,2023-01-23,05:09:59,VENGALLUR,,,NA,http://59.94.179.116/getFile/P06C160-2023012300770.jpg,,IDUKKI,"Vengallur to Muvattupuzha",C16
KL016673,2023-01-23,05:30:18,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C091-2023012303034.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane1",C09
KL16P23,2023-01-23,05:30:19,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C091-2023012303046.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane1",C09
KL38G5540,2023-01-23,05:29:51,LAIKKADU,,Suzuki,Black,http://59.94.178.105/getFile/P01C021-2023012301500.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL03Q4971,2023-01-23,05:30:18,KADAMPATTUKONAM,,Suzuki,NA,http://117.216.46.219/getFile/P05C101-2023012301712.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane2",C10
KL23U9753,2023-01-23,05:30:19,KADAMPATTUKONAM,,Honda,NA,http://117.216.46.219/getFile/P05C091-2023012303048.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane1",C09
KL15A162,2023-01-23,05:30:21,THAVALAKUZHI,,,Grey,http://59.94.178.105/getFile/P02C052-2023012301560.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL07CM8799,2023-01-23,05:30:21,VAIDHYARANGADI_JN,,Toyota,Grey,http://117.247.180.163/getFile/P10C261-2023012300464.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE2",C26
KL708577,2023-01-23,05:30:21,KANNIMARI_JN,,,Grey,http://117.251.18.178/getFile/P03C050-2023012300164.jpg,,PALAKKAD,"KANNIMARI TO PALAKAD",C05
AP1497,2023-01-23,05:30:22,PULAMANTHOLE_JN,,,Black,http://117.221.64.243/getFile/P04C090-2023012301352.jpg,,MALAPPURAM,"PULAMANTHOLE TO PALAKKAD",C09
KL07CM8799,2023-01-23,05:30:21,VAIDHYARANGADI_JN,,Toyota,Grey,http://117.247.180.163/getFile/P10C251-2023012303074.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE1",C25
KL16P2318,2023-01-23,05:30:21,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C111-2023012303568.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL01CK4510,2023-01-23,05:30:23,WALAYAR_JN,,,Grey,http://117.251.18.178/getFile/P05C094-2023012300708.jpg,,PALAKKAD,"WALAYAR TO PALAKAD LANE_1",C09
KL57L6320,2023-01-23,05:30:22,PADANILAM_JN,,,Black,http://117.247.180.163/getFile/P09C211-2023012301528.jpg,,KOZHIKODE,"PADANILAM TO KKD LANE1",C21
KL16P2318,2023-01-23,05:30:21,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C121-2023012301490.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane2",C12
KL07AG2585,2023-01-23,05:30:22,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C091-2023012303050.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane1",C09
KL06AH2415,2023-01-23,05:30:25,THAVALAKUZHI,,,Grey,http://59.94.178.105/getFile/P02C062-2023012301036.jpg,,KOTTAYAM,"Thavalakuzhi To Pattithanam",C06
KL17M4325,2023-01-23,05:30:23,THAVALAKUZHI,,Suzuki,NA,http://59.94.178.105/getFile/P02C052-2023012301564.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL7AG2585,2023-01-23,05:30:24,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C121-2023012301494.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane2",C12
KL07CT6472,2023-01-23,05:30:25,THAVALAKUZHI,,Nissan,Black,http://59.94.178.105/getFile/P02C052-2023012301566.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL59X4282,2023-01-23,05:30:24,IRITTY,,,NA,http://59.96.61.71/getFile/P01C040-2023012300812.jpg,,KANNUR_RURAL,"Keezhur To Iritty Junction Lane2",C04
KL77AG2585,2023-01-23,05:30:24,KADAMPATTUKONAM,,,Grey,http://117.216.46.219/getFile/P05C111-2023012303570.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL19E1998,2023-01-23,05:30:25,CHERUVARAKONAM,,,Black,http://117.216.46.219/getFile/P02C032-2023012300426.jpg,,TRIVENDRAM,"Cheruvarakonam To Tamilnadu",C03
TN38X1999,2023-01-23,05:30:25,OZHALAPATHY_JN,,,Grey,http://117.251.18.178/getFile/P07C162-2023012300070.jpg,,PALAKKAD,"OZHALAPATHY TO POLLACHI",C16
KL64L4198,2023-01-23,05:30:27,THAVALAKUZHI,,,NA,http://59.94.178.105/getFile/P02C052-2023012301568.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL23S6626,2023-01-23,05:30:26,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C111-2023012303572.jpg,,TRIVENDRAM,"Kadampattukonam to Kallambalam_Lane1",C11
KL27K6073,2023-01-23,05:30:25,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C041-2023012300734.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 2",C04
KL49N6713,2023-01-23,05:30:27,PULAMANTHOLE_JN,,,NA,http://117.221.64.243/getFile/P04C101-2023012300912.jpg,,MALAPPURAM,"PALAKKAD TO PULAMANTHOLE JN",C10
TNZC1576,2023-01-23,05:30:27,OORAMBU,,,Grey,http://117.216.46.219/getFile/P03C050-2023012300334.jpg,,TRIVENDRAM,"Oorambu To Karakonam",C05
KL59X4282,2023-01-23,05:30:27,IRITTY,,Skoda,NA,http://59.96.61.71/getFile/P01C010-2023012300736.jpg,,KANNUR_RURAL,"Keezhur To Mattanur Lane1",C01
KL59X4282,2023-01-23,05:30:27,IRITTY,,Audi,NA,http://59.96.61.71/getFile/P01C020-2023012300388.jpg,,KANNUR_RURAL,"Keezhur To Mattanur Lane2",C02
KL11BL1212,2023-01-23,05:30:21,KAKKODI_MUKKU_JN,,Toyota,White,http://117.247.180.163/getFile/P03C080-2023012300156.jpg,,KOZHIKODE,"KAKKODI TO KKD",C08
KL58Y8,2023-01-23,05:30:29,VAIDHYARANGADI_JN,,,NA,http://117.247.180.163/getFile/P10C251-2023012303076.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE1",C25
KL23S6626,2023-01-23,05:30:28,KADAMPATTUKONAM,,,Grey,http://117.216.46.219/getFile/P05C091-2023012303054.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane1",C09
AP4741,2023-01-23,05:30:28,GOVINDAPURAM_JN,,,Grey,http://117.251.18.178/getFile/P04C073-2023012300328.jpg,,PALAKKAD,"GOVINDHAPURAM TO PALAKAD",C07
KL30H3376,2023-01-23,05:29:59,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301442.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL23S6626,2023-01-23,05:30:28,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C101-2023012301716.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane2",C10
KL40Q6605,2023-01-23,05:30:27,VENGALLUR,,,NA,http://59.94.179.116/getFile/P06C150-2023012300836.jpg,,IDUKKI,"Vengallur to Thodupuzha",C15
KL30H3376,2023-01-23,05:29:59,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C021-2023012301502.jpg,,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
TN24WQ2746,2023-01-23,05:30:29,KARINKALATHANI_JN,,,Grey,http://117.221.64.243/getFile/P02C061-2023012300640.jpg,,MALAPPURAM,"KARINKALATHANI TO MALAPPURAM",C06
KL11AK7832,2023-01-23,05:30:29,VAIDHYARANGADI_JN,,,Black,http://117.247.180.163/getFile/P10C241-2023012302218.jpg,,KOZHIKODE,"VAIDHYARANGADI TO MALAPPURAM LANE2",C24
KLS68,2023-01-23,05:30:28,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C101-2023012301714.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane2",C10
KL67A8222,2023-01-23,05:30:32,THAVALAKUZHI,,,Grey,http://59.94.178.105/getFile/P02C052-2023012301570.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL56H4244,2023-01-23,05:30:31,VAIDHYARANGADI_JN,,Datsun,Grey,http://117.247.180.163/getFile/P10C251-2023012303078.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE1",C25
KL65M0024,2023-01-23,05:09:44,VENGALLUR,,,NA,http://59.94.179.116/getFile/P06C150-2023012300740.jpg,,IDUKKI,"Vengallur to Thodupuzha",C15
KL10U9353,2023-01-23,05:30:30,CHANGARAMKULAM_JN,,Suzuki,Grey,http://117.221.64.243/getFile/P01C012-2023012300142.jpg,,MALAPPURAM,"CHANGARAMKULAM TO KKD 1",C01
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301444.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C021-2023012301504.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 2",C02
KL77B0753,2023-01-23,05:30:31,PADANILAM_JN,,,Black,http://117.247.180.163/getFile/P09C211-2023012301532.jpg,,KOZHIKODE,"PADANILAM TO KKD LANE1",C21
KL56H4244,2023-01-23,05:30:31,VAIDHYARANGADI_JN,,Hyundai,Grey,http://117.247.180.163/getFile/P10C261-2023012300466.jpg,,KOZHIKODE,"VAIDHYARANGADI TO KKD LANE2",C26
KL02BM7073,2023-01-23,05:30:32,KADAMPATTUKONAM,,,NA,http://117.216.46.219/getFile/P05C091-2023012303052.jpg,,TRIVENDRAM,"Kadampattukonam to Paripally_Lane1",C09
KL03M2410,2023-01-22,14:53:52,"35th MILE",,Mahindra,Grey,http://59.94.179.116/getFile/P07C170-2023012206718.jpg,,IDUKKI,"35th Mile to Mundakayam",C17
KL27H3979,2023-01-23,05:30:32,LAIKKADU,,Suzuki,NA,http://59.94.178.105/getFile/P01C031-2023012300640.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
KL05AU3736,2023-01-23,05:30:05,THAVALAKUZHI,,,Grey,http://59.94.178.105/getFile/P02C052-2023012301552.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KL19J8580,2023-01-23,05:30:35,INCHIVILA,,,Black,http://117.216.46.219/getFile/P01C020-2023012301068.jpg,,TRIVENDRAM,"Inchivila To KanyaKumari",C02
KL45P3587,2023-01-23,05:31:58,BODIMETTU,,,NA,http://59.94.179.116/getFile/P03C101-2023012300182.jpg,,IDUKKI,"Bodimettu To Pooppara_Lane2",C10
AP3736,2023-01-23,05:30:05,THAVALAKUZHI,,,Black,http://59.94.178.105/getFile/P02C052-2023012301558.jpg,,KOTTAYAM,"Thavalakuzhi To Kottayam",C05
KLRJ305,2023-01-23,05:30:32,NEELIYADU_JN,,,NA,http://117.221.64.243/getFile/P07C160-2023012300310.jpg,helmet_violation,MALAPPURAM,"NEELIYADU TO EDAPPAL",C16
KL27J7601,2023-01-23,05:30:33,LAIKKADU,,Renault,NA,http://59.94.178.105/getFile/P01C031-2023012300644.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
KL05AX1116,2023-01-23,05:30:35,THAVALAKUZHI,,,NA,http://59.94.178.105/getFile/P02C062-2023012301038.jpg,,KOTTAYAM,"Thavalakuzhi To Pattithanam",C06
KL33L7270,2023-01-23,05:30:01,LAIKKADU,,,Grey,http://59.94.178.105/getFile/P01C011-2023012301444.jpg,helmet_violation,KOTTAYAM,"Laikkad To Thiruvalla Lane 1",C01
TN76AR2647,2023-01-23,05:30:05,LAIKKADU,,,Black,http://59.94.178.105/getFile/P01C031-2023012300638.jpg,,KOTTAYAM,"Laikkad To Kottayam Lane 1",C03
